,model,tokenizer,vectorizer,ngram,random_state,data_type,accuracy,dem_precision,rep_precision,dem_recall,rep_recall,null_accuracy,lift
15,LogisticRegression,NLTK,Count,"(1, 1)",13,Clean,0.84059080125507,0.8549525101763907,0.8220115850447604,0.8613807245386192,0.8141515994436718,0.5598071477768424,1.501572112098428
16,MultinomialNB,NLTK,Count,"(1, 1)",13,Clean,0.8340858651565011,0.8392880685563613,0.8268879970813572,0.8702665755297334,0.7880737134909597,0.5598071477768424,1.489952153110048
17,RidgeClassifier,NLTK,Count,"(1, 1)",13,Clean,0.8180913752200198,0.8358269858541894,0.7952755905511811,0.8400546821599453,0.7901599443671766,0.5598071477768424,1.4613807245386192
18,BernoulliNB,NLTK,Count,"(1, 1)",13,Clean,0.831713476697023,0.8501231864221188,0.8083666030203089,0.8490772385509228,0.8096314325452016,0.5598071477768424,1.4857142857142858
19,RandomForestClassifier,NLTK,Count,"(1, 1)",13,Clean,0.7864850386469733,0.7516405294183072,0.8633464180569186,0.9238550922761449,0.6117872044506258,0.5598071477768424,1.4049213943950787
20,LogisticRegression,NLTK,Count,"(1, 1)",14,Clean,0.8405142725950868,0.8511071865235702,0.8268489309498773,0.8637805046187784,0.8114895080839353,0.5550623708578862,1.5142699572590652
21,MultinomialNB,NLTK,Count,"(1, 1)",14,Clean,0.832631820616821,0.8354966887417219,0.8287112561174551,0.8697090858954916,0.7863777089783281,0.5550623708578862,1.5000689369915898
22,RidgeClassifier,NLTK,Count,"(1, 1)",14,Clean,0.8199280630596159,0.8286825865307218,0.808302155709959,0.8516475940989935,0.7803577571379429,0.5550623708578862,1.4771818557838137
23,BernoulliNB,NLTK,Count,"(1, 1)",14,Clean,0.8299533175174103,0.8466308391897478,0.8091222030981067,0.8470977526540742,0.8085655314757482,0.5550623708578862,1.4952433475803117
24,RandomForestClassifier,NLTK,Count,"(1, 1)",14,Clean,0.7827351343077983,0.7489846570397112,0.853913871044492,0.9153453743278643,0.6173030615755074,0.5550623708578862,1.410175099958638
25,LogisticRegression,NLTK,Count,"(1, 1)",15,Clean,0.8451059921940767,0.8614368513276722,0.8236543909348442,0.8651685393258427,0.8190140845070423,0.5653172112956302,1.4949235142818467
26,MultinomialNB,NLTK,Count,"(1, 1)",15,Clean,0.8408203872350195,0.8468174094889557,0.8323485967503693,0.877081359144443,0.793661971830986,0.5653172112956302,1.4873426289427374
27,RidgeClassifier,NLTK,Count,"(1, 1)",15,Clean,0.8239075533787403,0.8393381371764078,0.8031580836174412,0.8514958711249493,0.7880281690140845,0.5653172112956302,1.4574252064437527
28,BernoulliNB,NLTK,Count,"(1, 1)",15,Clean,0.8337797505165685,0.8557784145176696,0.8056814220982921,0.8490591579802356,0.8139084507042254,0.5653172112956302,1.474888317314201
29,RandomForestClassifier,NLTK,Count,"(1, 1)",15,Clean,0.7939848473253234,0.7649249520370162,0.855206847360913,0.917557871937187,0.6332746478873239,0.5653172112956302,1.404494382022472
