,model,tokenizer,vectorizer,ngram,random_state,data_type,accuracy,dem_precision,rep_precision,dem_recall,rep_recall,null_accuracy,lift
53,LogisticRegression,NTLK,TFIDF,"(1, 1)",14,Dirty,0.8212290502793296,0.8204927649589363,0.8222757598220904,0.8677788501309803,0.7631578947368421,0.5550623708578862,1.479525713497863
54,MultinomialNB,NTLK,TFIDF,"(1, 1)",15,Dirty,0.7960511211448688,0.7549125458864177,0.8961892247043364,0.946527683768783,0.6003521126760564,0.5653172112956302,1.4081494517395425
55,LogisticRegression,NTLK,TFIDF,"(1, 1)",15,Dirty,0.8303359608173261,0.8361508452535761,0.8220197135949414,0.8704480844727224,0.778169014084507,0.5653172112956302,1.4687965344524165
56,MultinomialNB,NTLK,TFIDF,"(1, 1)",16,Dirty,0.7865615673069565,0.7422439439014025,0.9006839945280438,0.9506055245611648,0.5757257782441413,0.56240912221627,1.398557626888012
57,LogisticRegression,NTLK,TFIDF,"(1, 1)",16,Dirty,0.8220708655391444,0.8234612413082668,0.8200339558573854,0.8701864199210777,0.7602308499475341,0.56240912221627,1.4616954687712613
58,MultinomialNB,NTLK,TFIDF,"(1, 1)",17,Dirty,0.7845718221473942,0.7436773023156547,0.8882575757575758,0.9440531021403413,0.5774846086191733,0.5649345679957144,1.3887835274993225
59,LogisticRegression,NTLK,TFIDF,"(1, 1)",17,Dirty,0.820922935639397,0.8262163561076604,0.8132609102828245,0.864941750203197,0.763764291996482,0.5649345679957144,1.4531292332701167
60,MultinomialNB,NTLK,TFIDF,"(1, 1)",18,Dirty,0.790081885666182,0.748175965665236,0.8943154523618895,0.9462613651784503,0.5881010881010881,0.5639396954159333,1.4010042068123219
61,LogisticRegression,NTLK,TFIDF,"(1, 1)",18,Dirty,0.820463763679498,0.8245251324460524,0.8145645645645646,0.8659248201926991,0.7616707616707616,0.5639396954159333,1.4548785452571584
62,MultinomialNB,NTLK,TFIDF,"(1, 1)",19,Dirty,0.7982704522843805,0.7614340032590983,0.8860693940963231,0.9409316686803598,0.6091135635457459,0.5700619882145863,1.4003221908981074
63,LogisticRegression,NTLK,TFIDF,"(1, 1)",19,Dirty,0.8245197826586056,0.8392105263157895,0.8040973111395646,0.8562223117196939,0.7824848700605198,0.5700619882145863,1.4463686400859177
64,MultinomialNB,NTLK,TFIDF,"(1, 1)",20,Dirty,0.792913446085559,0.7486769629549628,0.9004726890756303,0.948160306387635,0.5957261987491314,0.5595010331369098,1.417179592395021
65,LogisticRegression,NTLK,TFIDF,"(1, 1)",20,Dirty,0.8259738271982857,0.8276310654351503,0.8236059479553903,0.8701955956777458,0.7698054204308548,0.5595010331369098,1.4762686363014634
66,MultinomialNB,NTLK,TFIDF,"(1, 2)",10,Dirty,0.7368944669778832,0.6854383784300603,0.9432515337423313,0.979773131064644,0.42782608695652175,0.5599602050968088,1.3159764930982643
67,LogisticRegression,NTLK,TFIDF,"(1, 2)",10,Dirty,0.8234483814188414,0.8188645621181263,0.830358856265592,0.8791854585212519,0.7525217391304347,0.5599602050968088,1.4705480388137215
68,MultinomialNB,NTLK,TFIDF,"(1, 2)",11,Dirty,0.733986377898523,0.683170198612563,0.9441823899371069,0.9806302005183467,0.4187587168758717,0.561031606336573,1.3082799072432139
69,LogisticRegression,NTLK,TFIDF,"(1, 2)",11,Dirty,0.8227596234789929,0.8195488721804511,0.8275862068965517,0.8772336652571273,0.7531380753138075,0.561031606336573,1.4665120720229166
70,MultinomialNB,NTLK,TFIDF,"(1, 2)",12,Dirty,0.741486186576873,0.6911145155112983,0.9420510865421273,0.9793758480325645,0.4337370545901352,0.5640162240759165,1.3146540027137041
71,LogisticRegression,NTLK,TFIDF,"(1, 2)",12,Dirty,0.8190097191398179,0.8182627495866718,0.8201383551114527,0.8729986431478969,0.7491662278392136,0.5640162240759165,1.4521031207598372
72,MultinomialNB,NTLK,TFIDF,"(1, 2)",13,Dirty,0.7324558046988597,0.6812873825121049,0.9451460142067877,0.9809979494190021,0.4163769123783032,0.5598071477768424,1.3084073820915927
73,LogisticRegression,NTLK,TFIDF,"(1, 2)",13,Dirty,0.8201576490395653,0.814678666497655,0.828505214368482,0.8786056049213944,0.7458275382475661,0.5598071477768424,1.4650717703349283
74,MultinomialNB,NTLK,TFIDF,"(1, 2)",14,Dirty,0.7234254228208464,0.6720567375886525,0.9414125200642055,0.9798703984558114,0.40350877192982454,0.5550623708578862,1.3033227629946231
75,LogisticRegression,NTLK,TFIDF,"(1, 2)",14,Dirty,0.8116629677814341,0.8052229299363057,0.8213532681617788,0.8715014476768234,0.7370141038871689,0.5550623708578862,1.4622914656004413
76,MultinomialNB,NTLK,TFIDF,"(1, 2)",15,Dirty,0.7447769189561491,0.694359171143515,0.9436246689368142,0.97982943007987,0.43908450704225355,0.5653172112956302,1.3174495735751997
77,LogisticRegression,NTLK,TFIDF,"(1, 2)",15,Dirty,0.8258207698783194,0.8245903721580083,0.8276857912976512,0.8788412075267361,0.7568661971830986,0.5653172112956302,1.460809530255855
78,MultinomialNB,NTLK,TFIDF,"(1, 2)",16,Dirty,0.72931812963955,0.6795064983989452,0.9452837893017558,0.9817662266975099,0.4048618398041273,0.56240912221627,1.2967750714382908
79,LogisticRegression,NTLK,TFIDF,"(1, 2)",16,Dirty,0.8143414708808449,0.8097395243488109,0.821484375,0.8756293373248061,0.7355718782791185,0.56240912221627,1.4479521023268471
80,MultinomialNB,NTLK,TFIDF,"(1, 2)",17,Dirty,0.7341394352184893,0.685353822804022,0.9378217821782178,0.978732050934706,0.41653474054529466,0.5649345679957144,1.2995123272825793
81,LogisticRegression,NTLK,TFIDF,"(1, 2)",17,Dirty,0.8160251014004745,0.8148241841639261,0.8178647548924627,0.8726632348956922,0.7424802110817942,0.5649345679957144,1.4444594960715254
82,MultinomialNB,NTLK,TFIDF,"(1, 2)",18,Dirty,0.7348281931583378,0.6855513307984791,0.9383588535531998,0.9786945311439815,0.41944541944541947,0.5639396954159333,1.3030261907992944
83,LogisticRegression,NTLK,TFIDF,"(1, 2)",18,Dirty,0.8163312160404071,0.8141357946643065,0.8196975571927103,0.8737956303433302,0.742014742014742,0.5639396954159333,1.4475505495996743
84,MultinomialNB,NTLK,TFIDF,"(1, 2)",19,Dirty,0.7515114410346675,0.7023694856482373,0.9415270018621974,0.978923345415492,0.4499822000711997,0.5700619882145863,1.3182977580883342
85,LogisticRegression,NTLK,TFIDF,"(1, 2)",19,Dirty,0.8256677125583531,0.8330542316114904,0.8148567119155354,0.8681702241911666,0.769312922748309,0.5700619882145863,1.4483823331990873
86,MultinomialNB,NTLK,TFIDF,"(1, 2)",20,Dirty,0.7333741486186577,0.6823596683503288,0.9413364413364413,0.9793461906715908,0.42095205003474634,0.5595010331369098,1.3107646012857337
87,LogisticRegression,NTLK,TFIDF,"(1, 2)",20,Dirty,0.8184740185199357,0.8151078218706137,0.8235181644359465,0.8737518807276706,0.748262682418346,0.5595010331369098,1.4628641772671316
88,MultinomialNB,SPACY,Count,"(1, 1)",10,Dirty,0.8282696869977807,0.8360938121107725,0.817572463768116,0.8623752904195708,0.7848695652173913,0.5599602050968088,1.4791581249145824
89,LogisticRegression,SPACY,Count,"(1, 1)",10,Dirty,0.8314073620570904,0.8446091644204852,0.8140605631308659,0.8564985649856498,0.7994782608695652,0.5599602050968088,1.4847615142818096
90,MultinomialNB,SPACY,Count,"(1, 1)",11,Dirty,0.824672839978572,0.832541567695962,0.81380943705593,0.8605920065475379,0.7787656903765691,0.561031606336573,1.4699222479879963
91,LogisticRegression,SPACY,Count,"(1, 1)",11,Dirty,0.8293410882375449,0.8435016835016835,0.8107054236086494,0.854317282771791,0.7974198047419805,0.561031606336573,1.478243077342791
92,MultinomialNB,SPACY,Count,"(1, 1)",12,Dirty,0.8277339863778985,0.835672131147541,0.816611539875046,0.8645861601085482,0.7800596805336142,0.5640162240759165,1.4675712347354137
93,LogisticRegression,SPACY,Count,"(1, 1)",12,Dirty,0.8248258972985383,0.8385978941756631,0.806254493170381,0.8537313432835821,0.7874319817447779,0.5640162240759165,1.4624151967435548
94,MultinomialNB,SPACY,Count,"(1, 1)",13,Dirty,0.8230657381189256,0.830056735717113,0.8134110787172012,0.8600136705399863,0.7760778859527121,0.5598071477768424,1.4702665755297337
95,LogisticRegression,SPACY,Count,"(1, 1)",13,Dirty,0.8247493686385552,0.8402166553825322,0.8046462513199577,0.848257006151743,0.7948539638386648,0.5598071477768424,1.4732740943267262
96,MultinomialNB,SPACY,Count,"(1, 1)",14,Dirty,0.8217647508992117,0.8250594137839979,0.8172219188057528,0.8615745208879084,0.7721018231854145,0.5550623708578862,1.4804908313801186
97,LogisticRegression,SPACY,Count,"(1, 1)",14,Dirty,0.8245963113185888,0.8353386508043802,0.8105820105820106,0.8519233420653523,0.7905056759545923,0.5550623708578862,1.4855921687577556
98,MultinomialNB,SPACY,Count,"(1, 1)",15,Dirty,0.8258207698783194,0.8361173221096936,0.8114934114202049,0.8605658589413835,0.7806338028169014,0.5653172112956302,1.460809530255855
99,LogisticRegression,SPACY,Count,"(1, 1)",15,Dirty,0.8271217570980333,0.8451803984921917,0.8033339244546905,0.8498713956951401,0.7975352112676056,0.5653172112956302,1.4631108704480846
100,MultinomialNB,SPACY,Count,"(1, 1)",16,Dirty,0.8229892094589424,0.8268431983385255,0.8174529181428305,0.8667845965437474,0.7667016439314446,0.56240912221627,1.4633283439923799
101,LogisticRegression,SPACY,Count,"(1, 1)",16,Dirty,0.8250554832784878,0.838119406972085,0.8075268817204301,0.8538576677098925,0.7880377754459601,0.56240912221627,1.4670023132398964
102,MultinomialNB,SPACY,Count,"(1, 1)",17,Dirty,0.8229126807989592,0.8316753926701571,0.810576745900129,0.8607423462476294,0.7737906772207563,0.5649345679957144,1.456651314007044
103,LogisticRegression,SPACY,Count,"(1, 1)",17,Dirty,0.8253615979184205,0.8420064377682404,0.8032436285867047,0.8504470333243024,0.7927880386983289,0.5649345679957144,1.4609861826063397
104,MultinomialNB,SPACY,Count,"(1, 1)",18,Dirty,0.8233718527588582,0.83178182771732,0.8115808823529411,0.8609037861310898,0.7748332748332748,0.5639396954159333,1.4600352829420544
105,LogisticRegression,SPACY,Count,"(1, 1)",18,Dirty,0.8283462156577638,0.8410058541777541,0.8112051882543686,0.8577826027954947,0.7902772902772903,0.5639396954159333,1.4688560184556927
106,MultinomialNB,SPACY,Count,"(1, 1)",19,Dirty,0.8282696869977807,0.8434736703180679,0.8072859744990892,0.8579675124177742,0.7888928444286223,0.5700619882145863,1.452946704255605
107,LogisticRegression,SPACY,Count,"(1, 1)",19,Dirty,0.8239075533787403,0.8461538461538461,0.7945302788137099,0.8446771378708552,0.796368814524742,0.5700619882145863,1.4452946704255607
108,MultinomialNB,SPACY,Count,"(1, 1)",20,Dirty,0.8249789546185047,0.8315733896515312,0.8158805317792752,0.8617152236356176,0.778318276580959,0.5595010331369098,1.474490493776501
109,LogisticRegression,SPACY,Count,"(1, 1)",20,Dirty,0.8278105150378817,0.8433048433048433,0.8077598314606742,0.850225687320476,0.7993398193189715,0.5595010331369098,1.4795513609629325
110,MultinomialNB,SPACY,Count,"(1, 2)",10,Dirty,0.8370704828958445,0.8400629260618773,0.8328736900165472,0.8757687576875769,0.7878260869565218,0.5599602050968088,1.4948749487494875
111,LogisticRegression,SPACY,Count,"(1, 2)",10,Dirty,0.8392132853753731,0.8499731615673645,0.82493321460374,0.8656553232198989,0.8055652173913044,0.5599602050968088,1.4987016536832034
112,MultinomialNB,SPACY,Count,"(1, 2)",11,Dirty,0.8366113109359455,0.8380171740827479,0.8346032335997027,0.8785977356431592,0.7829497907949791,0.561031606336573,1.4912017460100944
113,LogisticRegression,SPACY,Count,"(1, 2)",11,Dirty,0.8395959286752889,0.8490465395386051,0.826867816091954,0.8685036147865229,0.802649930264993,0.561031606336573,1.4965216205156187
114,MultinomialNB,SPACY,Count,"(1, 2)",12,Dirty,0.8394428713553226,0.842604626982064,0.8349153173273777,0.8796472184531886,0.7874319817447779,0.5640162240759165,1.4883310719131615
115,LogisticRegression,SPACY,Count,"(1, 2)",12,Dirty,0.8333205785566695,0.8453046022878425,0.8170841593079834,0.8622795115332429,0.7958574688432508,0.5640162240759165,1.4774762550881955
116,MultinomialNB,SPACY,Count,"(1, 2)",13,Dirty,0.8366878395959286,0.8375244299674267,0.8354970326409495,0.8787423103212577,0.7832058414464534,0.5598071477768424,1.4946001367053998
117,LogisticRegression,SPACY,Count,"(1, 2)",13,Dirty,0.834468508456417,0.8465160075329566,0.8185691461033198,0.8602870813397129,0.8016342141863699,0.5598071477768424,1.4906356801093645
118,MultinomialNB,SPACY,Count,"(1, 2)",14,Dirty,0.8330144639167368,0.8313945889426219,0.8353028064992615,0.8770164070039983,0.7781217750257998,0.5550623708578862,1.5007583069074868
119,LogisticRegression,SPACY,Count,"(1, 2)",14,Dirty,0.8337032218565853,0.8412144008597529,0.8237595589542949,0.8633668826692403,0.7966976264189887,0.5550623708578862,1.501999172756101
120,MultinomialNB,SPACY,Count,"(1, 2)",15,Dirty,0.8425805464146323,0.8458344147417597,0.8379033762357769,0.8823609042913226,0.7908450704225352,0.5653172112956302,1.4904562068498715
